text,label,label_text
 kennedy was reinjured at raw on monday hes got s serious muscle issue in his back and a broken wrist,0,negative
sick with a flu like thing,0,negative
_shan_west im so excited to see u its been forever  my lil shan shan gettin married  ps did u really get a tattoo lol,2,positive
 mmmm it all sounds tasty i had some spiced rum earlier yummmmmyyyy also herbs are always good although better when shared,2,positive
fml my work uniform is on the washing line,0,negative
wrong liesboystell your the only one i love they really have several women  httptinyurlcomnlpct,0,negative
 aww i feel bad for the lil  he look like he know whats coming,0,negative
but i have cause i missed a lot of classes,0,negative
 haha  cute ps thanks for the reply made my day haha,2,positive
 oh is it good ive been wanting to watch that movie but nooobody would watch it wme,0,negative
 sorry you didnt make it  good luck next time though,2,positive
startin to get a head ache uuuggghh,0,negative
sitting in katies house with jo the other two are away doing stuff and i have swine flu  and bronchitis but thats a diff story,0,negative
_anais i feel reeeally bad now sorry,0,negative
_n_wilson cmon i like the superpower explanation better lol,2,positive
 lol me too,2,positive
 sorry forgot that,0,negative
 im bummedyoure gonna be only  minutes from me on sunday  i cant come hear ya,0,negative
_o awesome my family owns itthe flowers and we love having your kids there they seem to have lots of fun,2,positive
well rite i gt a headache,0,negative
 oo noo thats not good,0,negative
love to but  already got plan  going to queen mary ,2,positive
 my mom wants to lay well be there later probably a little after  and  im sorry youre sick,0,negative
 people from england can watch this one  thankyou,2,positive
is done painting all the bedroom furniture i still have to do the table but it will wait until after the move uggh moving in the heat,0,negative
_ i dont see how there could possibly be another choice,0,negative
funeral at   today is going to be bad,0,negative
 such a dissapointment  hhaha,0,negative
 ive missed one this year its the forbidden fruit of all the trees in the garden i munch in disappointment on that one,0,negative
i want to wish happy mothers day to my two favorite moms in the world my own mom of course  and my sister happy moms day to you two,2,positive
going out with my tita gi sister and my beloved lola were going to treat her for dinner wohoo so excited and hungry,2,positive
fatigue settling in but gotta power through awesome seats again tonight im pretty lucky life aint too bad,2,positive
didnt make to my cousins yacht convention hope he doesnt get upset and hope he won,2,positive
 very funny thanks,2,positive
_uts bass love,2,positive
 not so good,0,negative
men its far too sunny,0,negative
 sike sike call it truce u still a  and my ppl still gonna air u out tho,0,negative
  hahaha well its try its so ugly,0,negative
having asthma issues today   bah,0,negative
you know you love your mom when you stay up this late just to wrap her gifts which look glorious  handmake a card happy mothers day,2,positive
 cool beans yeah man  no prob at all,2,positive
happy mothers day and to the god mothers and step mothers too,2,positive
just drove by fisher and i feel so sad,0,negative
i want a dog or a cat or something  i want something to unconditonally love thats not materialistic or a family memeber,2,positive
actual wiki entry the million dollar homepage made me just shake my head due to the fact that  sometimessomtimes things just work,0,negative
 there are three broody ones atm i have a china eggs under them to keep them happy ish,2,positive
 oh wait i messed up my own messed up lyrics that should be dont concretize it,0,negative
ugh apparantly doc authorized my refills on tuesday and ready to be picked up but the order status online still says waiting review,0,negative
 you have arthritis in them  really  poor you  that would be painful  but you cant be that old  how many squats did u do,0,negative
dang you internet   its been down all night  ,0,negative
 ouch  does picking your nose count,0,negative
 yeah i had a suspicion about that i think im going to come home and want to spend a ton of money on tools,0,negative
_ho naw it was before the  mins bug where tanks would stop spawning after  mins  im glad i get to keep it,2,positive
 u think its fair k den i guess m wrng still i feel its not at all fair,0,negative
 thanks yes a lot,2,positive
home from the beach and only my feet are burned i am proud of myself and the sunscreen,2,positive
my bum hurts,0,negative
 fun to read thanks you brits make things interesting  funny they whittled  saints days to four httpffimzgfk,2,positive
 good morning,2,positive
working on short storytotally loving one of my secondary characters,2,positive
hey  sorry about your headahce,0,negative
 yay welcome to the etsyseller world,2,positive
okay im happy again  i watched the second episode of jonas on youtube i think tomorrow my family is going to olive garden for mothers day,2,positive
this weekend is going to be packed full of work for school  no life this summer im afraid,0,negative
lappytop baterrry dyingtryingtofind a movieto watch since im staying in  and goingto my room,0,negative
had a great weekend with one hanging with nick  brendon church this morning cant believe loretta won the mothers day raffle again,2,positive
we are in the state of cheese  yum green moocow pastures everywhere and super friendly lutherans too,2,positive
naplan testing tuesday wednesday  thursday im afraid about the maths one english not so much,0,negative
oh dear they selected the worst bit for highlight for soprano guy,0,negative
 lame,0,negative
happpy mothers day,2,positive
going to buffalo wild wings to meet up with my best friends i havent seen in forever too bad i cant eat the food,0,negative
there go my big plans thanks tonsils,0,negative
 my friday made me miss high school,0,negative
wish i was in chicago,2,positive
i miss my closest freindshirley she went to france for the summer  i miss you shirley,0,negative
waiting for  to wake up hazin a sad,0,negative
all moved in to our new apartment so exciting,2,positive
 i want to get all dressed up and go out to but i to have no one to go with im with you mentor,0,negative
i need a restful weekend but i will have to work instead,2,positive
dang baby i love you ma,2,positive
very bad thingsi need to stop thinking,0,negative
 kev  off im stuck in westgate working,0,negative
ah my tummy hurts   starbucks sugarchocolatecaffeine,0,negative
excellent the suzaku  are back together  woop last episode  hope its a happy one im a sucker for these really lol shh,2,positive
today was the last day of high school for me and i ended up going home sick  stupid dead rats,0,negative
 i saw this link but i get an error on the cnn site when i open this page and cannot read the article,0,negative
 ahh okay makes sense to start the preparations now then,2,positive
having a hectic day travelling from pj to uniten back to pj working now at cc office,0,negative
 what i do now  anyhoo thanks for the spank o x,2,positive
 sorry we couldnt get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running,0,negative
 im sure youre sleeping but youll have to tell me your favorite part tomorrow i laughed pretty much the whole time,2,positive
i dont do very good at funerals crying is way  contagious for me,0,negative
 i know i dont want to be left in our home by myself during the weekend,0,negative
just got my heart ripped out  i love you guys,2,positive
 dont get impatient for what you have already sinned strawberries with milk and sugar,0,negative
is on allegra flonase and a steroid inhaler for the rest of the allergy season throat still hurts from the asthma,0,negative
 man that sucks and i feel your pain if you were local id buy you a cup of coffee,0,negative
poor greg  stupid uk always doing the sympathy vote xo,0,negative
very succesful cancertown launch yesterday,2,positive
_ hey thanks  the advice  support,2,positive
he brings sooo much joy show it  great song  httpblipfmzoq httpffimll,2,positive
 no happy hour in ccp eithah thats  bad,0,negative
 have a happy trip,2,positive
 oh lovely  that is one thing mums are great at sounds yummy  you are makin me hungry here lol p,2,positive
  sorry only just seen this  how strange it seems only to happen from my iphone  perhaps it is a problem with twitterific,0,negative
love ice cream love cake cookies and cream ice cream cake tops them both,2,positive
good stuff smiles back why wont you go to his concert too o wish i could instead of working on my music which is failing  lol x,2,positive
 i did that but my ins wouldnt pay for the therapy  so now i dk what to do,0,negative
 lol we are staying in craig got footy so molly and me missing all the good weather we have no buggy either,0,negative
 aw poor youironing eek lol its raining here tooprob try and get out with the kids laternt too exciting im afraid,0,negative
 httptwitpiccomgb  i think so  wellure lucky,2,positive
romantic evening in with papa murphys and battle bc from the history channel,2,positive
 awesome what a blessing,2,positive
 hilarious so if she acts up all you have to do is say  little wordgummed up grosses me out hub says it  torment,2,positive
 wtf pogs are back too,0,negative
 unfortunately i didnt do it on purpose  itunes shuffle did it it followed up with dreadzone so no liferuin musictrauma,0,negative
just taking my dad in law for a sunday stroll down old leigh  a beautiful morning say hi to morris lol  httptwitpiccomwtk,2,positive
 giv ya mom n gman happy mothers day,2,positive
 quite all right  sounds better than clock coming from a female anyway,2,positive
liam peed in the potty,0,negative
 hee hee i only holiday in the gutter try to get there once a week at least welcome lol  ,2,positive
still cant figure this twitter thing out i cant my background pic to stick and i cant seem to change my profile pic,0,negative
my mom was happy with my present  yayy,2,positive
subwayyum,2,positive
i just got a wiff of pazik fart,0,negative
on my way to work wish i had more days off,2,positive
 sorry mo we thought that u have to work tomorrow  we go to the casino together too ,0,negative
so annoyed i missed mitch benn  lemon tree  you whats on,0,negative
 dammit i had the passes but i am still at work,0,negative
dinner with ali tonight celebrating her first day at the new job will be near trader joes might just have to stop in,2,positive
getting a cleaning on tues then getting a tooth pulled on thurs then gotta schedule a bridge that might need a root canalugh,0,negative
_x you are too sweet girl my food was soooo good,2,positive
theres only one thing i hate about friends and dats when they move skl they forget about yuu,0,negative
thinking of you   why we canï½t control our thoughts,0,negative
 someone came in when i was sleeping off my national passtime and turned me human,2,positive
going to body pump then yoga then going to enjoy a lovely bbq with the family loving the may day holiday,2,positive
 im sure you left the audience awestruck katherine looking forward to reading some wonderful reports,2,positive
 hahaha wow thanks bud p but my plan is to pretend its a costume i wish it were cold so i could wear a sweatshirt over this,2,positive
making egg tart  chinese egg pudding yum,2,positive
_bug bill is super thanks you,2,positive
beautiful monday morning  so happy  httpmylocmetct,2,positive
 have fun tonight,2,positive
followfriday     follow these ppl  they are interesting   doesnt tweet much though,2,positive
just about to say goodbye to  and  two of the best interns that elevate have ever had,2,positive
i hate when my bf beats da dogs but i guess that the only way to teach these pitts,0,negative
im an incredibly happy person with  energy love to dance  laughthe only thing that i knowim one of the most down to earth ppl,2,positive
the first time all week i can play wow and i get stuck at authenticating,0,negative
 me too  she better be back soon dude this is my typical bedtime but look who is talking what are you doing up so late,0,negative
tonights been boring,0,negative
i cant open my eyes properly maybe if i sleep for a lil while longer itll fix itself,0,negative
is excited to see samanthadenise again  httpplurkcomprrid,2,positive
got my hair cut great  stupid gum,0,negative
shawty next to me like hella good oowwwww,2,positive
 what a great project wish i could have done that with dd shes too old now,2,positive
 im not comfortable with this announcement,0,negative
watching nhl playoff game tomorrow night if anyone is interested and i know that none of you are,0,negative
 i did a couple hours agoive got sun burn and its really uncomfortable,0,negative
lost some  at worknt happy right now    sloanster,0,negative
 jz local movie here the titles virgin  p actually i feel not so good so tired n dizzy,0,negative
i miss the one who would do anything to spend  min with me the one who used to say just tell me when and where,0,negative
 good luck chan gue kmrn bawa backpack kosong quite helping,2,positive
 still jealous,0,negative
 sadly that is so true,0,negative
i feel like im quarantined everywhere i go pinkeye go away already,0,negative
goodnight loveee i have to attend extra classes at school tmrw urgh,2,positive
super bummed the whitecaps game plans with friends fell throughi now need to be home by  to let the sitter go,0,negative
 i saw the play of it here it was amazing,2,positive
 i want to die i want to take my own life forever shes trying to get me to do a duet,0,negative
feel sick too much cheese on toast,0,negative
happy  year ,2,positive
feels accomplished  she got a lot done today httpplurkcompstns,2,positive
he killed everyone for nothing o  ss,0,negative
made  tonight watching  little kids swim and watch a movie haha i love babysitting haha,2,positive
wow so i hate staples right now majorly thanks for being complete fucktards and killing our productivity,0,negative
im feeling great,2,positive
 i miss you already all the sad faces you texted me were seriously gonna make me cry,0,negative
has a tummy ache,0,negative
hey  bye bye  was fun too   robluketic live  httpustreamwv,2,positive
 im feel verey tired  madry chasawy j ,0,negative
i miss my doggymy hammymy turtle  my fishes,0,negative
outta the shower too bad justin couldnt spend the night  haha,0,negative
_aka_rowan he could be talking to me  hes probably not though  ,0,negative
happy mothers day to all the moms,2,positive
 ima goodgirl im not down with takin advantage,2,positive
i cant get all my rwitters on my phone this phone sucks,0,negative
 cant wait for it i love your scripts honestly you should have a future career as a script writer   stock twits,2,positive
 lol  good men watch the flicks wus and just sigh  this is a good flick so far its called because i said so,2,positive
mango medley has yummy mango and mango ice cream,2,positive
went to a party last night dindin and i showed up in matching outfits  great minds think alike  anyway happy birthday ate lara,2,positive
watching americas next top model yah haha,2,positive
sadness  the top horde guild that i liked disbanded,0,negative
 remember to put your phone on silent lol  night loveees,2,positive
what a day motorways and trains noooootttttttt fun,0,negative
twitter wont let me update online my update box wont work,0,negative
 i know i cant go eitherits sad  she needs to come back to mi asap haha,0,negative
ahhhh cant find anything because i have way too much open,0,negative
 dude i can safely say i was blown away when i heard attics ill make sure i pass it on as much as i can,2,positive
 haha me either but like ive always loved hilary  shes the girl id turn  for  haha,2,positive
its so sad  httpbitlybjth  i love kelly ,0,negative
_josh_thomas are you coming to sydney cool where can i meet you id love to meet you youre my favourite comedian,2,positive
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,0,negative
bushidokan class got canceled   ill just have to sign up for karate someplace else,0,negative
getting closer to logging in my left hand is so swollen i cant wear my wedding ring i keep forgetting and worrying that i lost it,0,negative
trying to straighten my hair but its too effing hot in here also i need food,0,negative
_lantos jeff cant forcast tonight  he says saturday hes good at  your time ifyou knowï½ you dont have a life on saturdays,2,positive
wont be going to the oxford internet institute summer doctoral programme in brisbane lack of funding,0,negative
 cool im gladi will save some tea for you,2,positive
i still have a very depressed feline fuzzballits another trip to vet tmrw to see what can be doneworried doesnt even cover it,0,negative
finished the noodles done the dishwasher really really warm i dont like it,0,negative
 is my son  he gets my vote today coz he has grown into a loving caring soulfull man  who loves his mum,2,positive
not doing relay  oh well,0,negative
 you and your yuotube links  denied at work,0,negative
is excited about so r and r for mothers day,2,positive
 man it will be a sweep no worries,2,positive
its a bank holiday if youre happy and you know it clap your hands,2,positive
so much for buying that awesome new phone from sony ericsson   i am now berryd like everyone else,2,positive
aww twiter i miss you today ill post a little more i mea after the movie theaterahah soo coold here,0,negative
 i would be looking forward to seeing you tonight if i was going,2,positive
 so i spoke too soon  my weekend may be delayed for like  more min  aaaah i gottaaa get outttt of here b i lose it,0,negative
is having a quiet mothers day evening happy mothers day to all the yummy mummies,2,positive
i am so bored  my homework is done for my masters program and its friday nite wit nutin to do,0,negative
thinkin twitter is really quite borin,0,negative
happy star wars dayyyy d and hbd to uncle lee,2,positive
 kh is the only thing ill be a weeaboo about  i still prefer it in english but im impatient haha,0,negative
i wanna see up tonight but no one will go with me whhhyyy,0,negative
mahalo  great show   aloha thx for makin it out to kauai we enjoyed it  safe trip,2,positive
okie gonna tweet more because i am loosing you guys or girls,0,negative
 sounds awesome wish i could go but no way i could afford it   have fun,2,positive
was laughed at today for being too hopeful with the things,0,negative
 yeah yeah gd night then,2,positive
baaaaaaaah theres a mega cockroach in the kitchen and i have no one to kill it  heeeeelp me haha my retarded cats are no help,0,negative
 i have tried he doesnt want to listen i dont know what to do anymore i just feel like he doesnt care anymore,0,negative
my stomach effing hurts sadly therell be no gym class this afternoon,0,negative
thats the birthday boys ipod touch and dsi setup and sorted just to think i would have been happy with a ball  boots at that age,2,positive
gregshowing my friends audioboo httpaudioboofm everyone seems  love it ta for the headzup bro so need  get iphone roll on june,2,positive
i just spent  hours looking for a blog topic and ended up inventing my own  grrrr    httpbitlyqrzy,0,negative
whew finally got in to rc,2,positive
httptwitpiccomvdn  i miss my babyyy,0,negative
_music aah i stopped getting your updates on my home page  sadddim guna refollow you it worked with tswift,0,negative
 pheasant dreams kaotic ones,0,negative
_divine take my advice lookin through the phone cost me my relationship,2,positive
 heres a more appropriate  tweet is everything ok  your last  days of tweets dont paint a good picture c,0,negative
  missing jmichelle told you treat me like a step child smh,0,negative
for some reason corona light tastes so much better when i am with you than it does when i am alone   httptwitpiccomwa,2,positive
big day day the xt launch was amazing so much free stuff thanx  the edge and telecom found the phone i wantcnt afford it yet tho,2,positive
 haha have good dreams  haha best friends forever haha be sweet to presh bailey   zdbp,2,positive
 thats soooo pretty mine havnt flowered for years,2,positive
 thanks feel so happy  make ur day a great one enjoy it  the fullest n have fun always,2,positive
 happy birthday,2,positive
getting ready to go study outside while having some fun in such a nice sunny day,2,positive
sickkkkk  get me out of this house need to get active whats going down celina havin a party hit me uhpp,0,negative
 cool  thats good you back on trains for a while,2,positive
_juneau i did until my parents got all fd up and i started comforteating,0,negative
love good girls go bad,2,positive
so bored nothing to do,0,negative
 you gave me the inspiration for my last update,2,positive
 whaatttaatttt she is a good cook and really creative silly sierra,2,positive
the plan to not spend money is not going well,0,negative
 just wanted to point out that on youtube you have more subscribers than tom felton thought that might make you happy,2,positive
i just got twitter for my palm  ,2,positive
 i need lele to answer meeee haha,2,positive
 cuz airlines are super lame,0,negative
found out i have to go to the us again in august getting tired of transatlantic flights not good for my carbon footprint either,0,negative
_jean now that i think about it when i get to the states theyll probably still be touring so they wont be there  dammit,0,negative
one good deed deserves another i hope to help someone else some day,2,positive
 we will support you,2,positive
may the forth be with you ,2,positive
tweeting from the tarmac at cork airport delayed,0,negative
tiesto in vicky park  how excellent,2,positive
my heads thumping,0,negative
two more loads and the moving crews done started at am and im done for the day too bad the ac doesnt work in my new place  oh life,0,negative
good morning  hope u all have a great day,2,positive
walmart orientationits work but seriouslythis sucks,0,negative
 yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up  hehe,0,negative
 ahhh what about the others like hoppusday and etc im such a spazz,0,negative
i am not in the mood for a long car drive,0,negative
 norwood house party haaaaaa yaaaaaaay smiles,2,positive
 degrees and a crappy ac,0,negative
just finished dinner  it was yummy,2,positive
 good luck  i wanna see them again too i waited outside by their buses to see them before no autographs tho,2,positive
probably the best birthday ive ever had i got to spend it with all my favorite people,2,positive
colleague that helped by creating his units site in iweb was not helpful trash code  css files for a  page site no optimizing,0,negative
 have a wonderful weekend at home good day today its friday but no otalia today tear  lots of love to you,2,positive
 haha yay we love you too mr shane dawson,2,positive
making a mix  minutes so far aiming for  minutes  loving it so far  dj sugarfree,2,positive
pretty sure my laptop just died  hp dv wireless problems constantly tons of heat wont start at all now fried circuit,0,negative
 its like triple what ive got so its a lot to me as well well done,2,positive
i seriously neeed to study,2,positive
getting ready for school reading whats going on on set in montepulciano and practically crying cause im not there,0,negative
i miss  so much  i wish i had enough money to be with him again,0,negative
 on another note i totally love this pic of you and your dadold pic   httpbitlyaeg,2,positive
happy mothers day,2,positive
 too late  im already on the bus goin home  what the hell u talkin about drinkin tea,0,negative
just went to the dentist my mouth hurts and i cant eat until ,0,negative
 oh  youve been superseeded  not good enough,0,negative
i feel super sick,0,negative
 haha if you like him then you should go,2,positive
well if you actually went and got your drivers license you wouldnt have to worry about the bus being  haha,0,negative
received our first bit of spam from twitter  not sure how to feel that the sanctity of our conversation has been tainted,0,negative
aarrgghh  fuka hose has leaked water all over the new floating floor,0,negative
 id love to,2,positive
 me too please come online  hope youve had an amazing weekend,2,positive
i luv da movie say anything   httpblipfmyroy,2,positive
theres a spider in my room save me,0,negative
 ahh i gtg but pls help me with number  ill come back later to see what u said  haha plz and thank u,2,positive
 degrees gross skies and thunderstormsperfect match for my mood  lol,2,positive
